WeaponType,Weapon,Skin
Knife,Bayonet,Vanilla
Knife,Bayonet,Gamma Doppler Phase 1
Knife,Bayonet,Gamma Doppler Phase 2
Knife,Bayonet,Gamma Doppler Phase 3
Knife,Bayonet,Gamma Doppler Phase 4
Knife,Bayonet,Gamma Doppler Emerald
Knife,Bayonet,Lore
Knife,Bayonet,Autotronic
Knife,Bayonet,Black Laminate
Knife,Bayonet,Freehand
Knife,Bayonet,Bright Water
Knife,Bayonet,Marble Fade
Knife,Bayonet,Tiger Tooth
Knife,Bayonet,Doppler Phase 1
Knife,Bayonet,Doppler Phase 2
Knife,Bayonet,Doppler Phase 3
Knife,Bayonet,Doppler Phase 4
Knife,Bayonet,Doppler Ruby
Knife,Bayonet,Doppler Sapphire
Knife,Bayonet,Doppler Black Pearl
Knife,Bayonet,Damascus Steel
Knife,Bayonet,Rust Coat
Knife,Bayonet,Ultraviolet
Knife,Bayonet,Slaughter
Knife,Bayonet,Fade
Knife,Bayonet,Case Hardened
Knife,Bayonet,Night
Knife,Bayonet,Crimson Web
Knife,Bayonet,Stained
Knife,Bayonet,Blue Steel
Knife,Bayonet,Urban Masked
Knife,Bayonet,Forest DDPAT
Knife,Bayonet,Safari Mesh
Knife,Bayonet,Boreal Forest
Knife,Bayonet,Scorched
Knife,Gut,Vanilla
Knife,Gut,Autotronic
Knife,Gut,Lore
Knife,Gut,Gamma Doppler Phase 1
Knife,Gut,Gamma Doppler Phase 2
Knife,Gut,Gamma Doppler Phase 3
Knife,Gut,Gamma Doppler Phase 4
Knife,Gut,Gamma Doppler Emerald
Knife,Gut,Black Laminate
Knife,Gut,Freehand
Knife,Gut,Bright Water
Knife,Gut,Ultraviolet
Knife,Gut,Marble Fade
Knife,Gut,Doppler Phase 1
Knife,Gut,Doppler Phase 2
Knife,Gut,Doppler Phase 3
Knife,Gut,Doppler Phase 4
Knife,Gut,Doppler Ruby
Knife,Gut,Doppler Sapphire
Knife,Gut,Doppler Black Pearl
Knife,Gut,Tiger Tooth
Knife,Gut,Damascus Steel
Knife,Gut,Rust Coat
Knife,Gut,Stained
Knife,Gut,Crimson Web
Knife,Gut,Blue Steel
Knife,Gut,Fade
Knife,Gut,Case Hardened
